# Time(in years),Distance from earth(AU),Angle between comet and sun(radians)
0.000000000000000000e+00,1.353156539806814829e+00,1.470479869652272731e+00
8.997946539405693445e-02,1.582029872688266892e+00,1.328161250289310535e+00
1.799589307881138689e-01,1.931745192265565292e+00,1.184737017767933054e+00
2.699383961821708033e-01,2.390493696749964148e+00,1.000643714471263879e+00
3.599178615762277378e-01,2.908152639007857143e+00,7.676065772930598108e-01
4.498973269702846722e-01,3.419598349672853477e+00,4.937522682846826050e-01
5.398767923643416067e-01,3.861457831908472471e+00,1.855415081135904920e-01
6.298562577583985966e-01,4.162228854236476039e+00,-1.588271028900980208e-01
7.198357231524554756e-01,4.268719695883850918e+00,-5.411570827751501778e-01
8.098151885465124655e-01,4.178189052335032905e+00,-9.657561827650916753e-01
8.997946539405693445e-01,3.966138417414833306e+00,-1.441373877163115935e+00
9.897741193346263344e-01,3.747843399469071635e+00,-1.983432227468846509e+00
1.079753584728683213e+00,3.643000504921343641e+00,-2.600639915505231325e+00
1.169733050122740092e+00,3.810113427020144439e+00,3.024363130719487813e+00
1.259712515516797193e+00,4.298236452660419538e+00,2.388674269866663202e+00
1.349691980910854072e+00,5.010981635992155958e+00,1.812025399514284096e+00
1.439671446304910951e+00,5.793560552400905728e+00,1.290241412825751333e+00
1.529650911698967830e+00,6.506346606738542704e+00,8.043825680218416041e-01
1.619630377093024931e+00,7.045884775885841833e+00,3.361846859857285374e-01
1.709609842487081810e+00,7.349893298695771904e+00,-1.292704295413711346e-01
1.799589307881138689e+00,7.401051971910304061e+00,-6.050462378154701781e-01
1.889568773275195790e+00,7.232901898211748559e+00,-1.103938402533206853e+00
1.979548238669252669e+00,6.936036017760251582e+00,-1.638465253019226964e+00
2.069527704063309770e+00,6.656677914954599373e+00,-2.216929577451391520e+00
2.159507169457366427e+00,6.567461210675345384e+00,-2.833948476078258949e+00
2.249486634851423528e+00,6.792376808054509496e+00,2.819381227587367533e+00
2.339466100245480185e+00,7.329109802894826942e+00,2.209749327651032491e+00
2.429445565639537286e+00,8.055364101502490826e+00,1.638197604814046748e+00
2.519425031033594387e+00,8.803844867653037198e+00,1.103041709011220339e+00
2.609404496427651043e+00,9.426062576389151459e+00,5.929735637171501539e-01
2.699383961821708144e+00,9.821781787345166492e+00,9.489444215828578277e-02
2.789363427215765245e+00,9.947012512517535043e+00,-4.037462166685605869e-01
2.879342892609821902e+00,9.818220741274302554e+00,-9.148300494149276263e-01
2.969322358003879003e+00,9.514659181159867529e+00,-1.449372475716217634e+00
3.059301823397935660e+00,9.174001990292735442e+00,-2.015408731542730258e+00
3.149281288791992761e+00,8.967825232834846005e+00,-2.612809861487385366e+00
3.239260754186049862e+00,9.042458159400137419e+00,3.055120313060832427e+00
3.329240219580106519e+00,9.443979665320304306e+00,2.445198215318370671e+00
3.419219684974163620e+00,1.009178542351959429e+01,1.859654937649017903e+00
3.509199150368220721e+00,1.082741347385310959e+01,1.304195348631493445e+00
3.599178615762277378e+00,1.148543705239972823e+01,7.736413630880173420e-01
3.689158081156334479e+00,1.193933107986302389e+01,2.580501190852365623e-01
3.779137546550391580e+00,1.212142541236799254e+01,-2.536000699294085337e-01
3.869117011944448237e+00,1.203033650788736608e+01,-7.721443562744265687e-01
3.959096477338505338e+00,1.173277243793853941e+01,-1.307630718114488833e+00
4.049075942732562439e+00,1.135803675580769756e+01,-1.867772006043979305e+00
4.139055408126619540e+00,1.107559931695879563e+01,-2.454427358240599322e+00
4.229034873520675752e+00,1.104372060048293314e+01,-3.059527288016984592e+00
4.319014338914732853e+00,1.133854977466192082e+01,2.617248794494690056e+00
4.408993804308789954e+00,1.191395257483342718e+01,2.026930123854000065e+00
4.498973269702847055e+00,1.262809754934421136e+01,1.461285207197308811e+00
4.588952735096904156e+00,1.330984927182763400e+01,9.189082223652234038e-01
4.678932200490960369e+00,1.381467272422403170e+01,3.924672163190728313e-01
4.768911665885017470e+00,1.405452849399255655e+01,-1.275642593579612016e-01
4.858891131279074571e+00,1.401022237973927176e+01,-6.510575353922791741e-01
